"05-MAY-20","Mar 2020","$0.08"," - $2.86","-2.94","-3,551.7"
"13-FEB-20","Dec 2019","$0.58","$0.65","0.07","12.0"
"29-OCT-19","Sep 2019","$0.65","$0.82","0.17","26.1"
"30-JUL-19","Jun 2019","$0.49","$0.75","0.26","53.0"
"30-APR-19","Mar 2019","$0.39","$0.62","0.23","58.9"
"14-FEB-19","Dec 2018","$0.43","$0.40","-0.03","-6.9"
"30-OCT-18","Sep 2018","$0.40","$0.38","-0.02","-5.0"
"31-JUL-18","Jun 2018","$0.30","$0.26","-0.04","-13.3"
"01-MAY-18","Mar 2018","$0.08"," - $0.01","-0.09","-112.5"
"15-FEB-18","Dec 2017"," - $0.52","$0.02","0.54","103.8"
