"01-MAY-20","Mar 2020","$0.04","$0.53","0.49","1,225.0"
"31-JAN-20","Dec 2019","$0.44","$0.41","-0.03","-6.8"
"01-NOV-19","Sep 2019","$0.64","$0.68","0.04","6.2"
"02-AUG-19","Jun 2019","$0.68","$0.73","0.05","7.3"
"26-APR-19","Mar 2019","$0.72","$0.55","-0.17","-23.6"
"01-FEB-19","Dec 2018","$1.08","$1.51","0.43","39.8"
"02-NOV-18","Sep 2018","$1.21","$1.46","0.25","20.6"
"27-JUL-18","Jun 2018","$1.26","$0.92","-0.34","-26.9"
"27-APR-18","Mar 2018","$1.14","$1.09","-0.05","-4.3"
"02-FEB-18","Dec 2017","$1.06","$0.88","-0.18","-16.9"
